task,baseline_reward,baseline_exception,baseline_status,baseline_trial,baseline_result_path,with_metaharness_reward,with_metaharness_exception,with_metaharness_status,with_metaharness_trial,with_metaharness_result_path,counts_for_without_n,counts_for_m
sanitize-git-repo,0.0,,failed,sanitize-git-repo__FbeDTPh,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sanitize-git-repo-claude-code-k6/sanitize-git-repo__FbeDTPh/result.json,1.0,,passed,sanitize-git-repo__27w76Zf,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-sanitize-kimicode-with-metaharness-20260610T154556/sanitize-git-repo__27w76Zf/result.json,False,True
schemelike-metacircular-eval,1.0,,passed,schemelike-metacircular-eval__T9jEfuN,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-schemelike-metacircular-eval-claude-code-k6/schemelike-metacircular-eval__T9jEfuN/result.json,,,not_run,,,True,False
sparql-university,1.0,,passed,sparql-university__J7S4QUA,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sparql-university-claude-code-k6/sparql-university__J7S4QUA/result.json,,,not_run,,,True,False
sqlite-db-truncate,1.0,,passed,sqlite-db-truncate__THWv6QN,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sqlite-db-truncate-claude-code-k6/sqlite-db-truncate__THWv6QN/result.json,,,not_run,,,True,False
sqlite-with-gcov,1.0,,passed,sqlite-with-gcov__YU6sA7E,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-sqlite-with-gcov-claude-code-k6/sqlite-with-gcov__YU6sA7E/result.json,,,not_run,,,True,False
torch-pipeline-parallelism,0.0,AgentTimeoutError,timeout_failure,torch-pipeline-parallelism__pqCuvvh,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-torch-pipeline-parallelism-claude-code-k6/torch-pipeline-parallelism__pqCuvvh/result.json,,,not_run,,,False,False
torch-tensor-parallelism,0.0,,failed,torch-tensor-parallelism__JwtXP8b,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-torch-tensor-parallelism-claude-code-k6/torch-tensor-parallelism__JwtXP8b/result.json,1.0,,passed,torch-tensor-parallelism__MraQAPJ,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-torchtensor-kimicode-with-metaharness-20260610T161752/torch-tensor-parallelism__MraQAPJ/result.json,False,True
train-fasttext,0.0,AgentTimeoutError,timeout_failure,train-fasttext__eALjEAg,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-train-fasttext-claude-code-k6/train-fasttext__eALjEAg/result.json,,,not_run,,,False,False
tune-mjcf,1.0,,passed,tune-mjcf__z7Nm4kg,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-tune-mjcf-claude-code-k6/tune-mjcf__z7Nm4kg/result.json,,,not_run,,,True,False
video-processing,0.0,,failed,video-processing__WQp4fB8,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-video-processing-claude-code-k6/video-processing__WQp4fB8/result.json,,,not_run,,,False,False
vulnerable-secret,1.0,,passed,vulnerable-secret__TNHvQTe,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-vulnerable-secret-claude-code-k6/vulnerable-secret__TNHvQTe/result.json,,,not_run,,,True,False
winning-avg-corewars,1.0,,passed,winning-avg-corewars__AVWqWtr,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-winning-avg-corewars-claude-code-k6/winning-avg-corewars__AVWqWtr/result.json,,,not_run,,,True,False
write-compressor,0.0,AgentTimeoutError,timeout_failure,write-compressor__TnHd2go,/Users/hugo/Desktop/super-refactor/harbor/runs/tb21-kimi-k26-local-019e737a-colima16g-proxy/jobs/tb21-write-compressor-claude-code-k6/write-compressor__TnHd2go/result.json,0.0,AgentTimeoutError,timeout_failure,write-compressor__eSjPkhV,/Users/hugo/Projects/Harness-TrajecDebug/artifacts/harbor-runs/tb21-write-compressor-kimicode-with-metaharness-20260610T224421/write-compressor__eSjPkhV/result.json,False,False
